Timestamp,What is Your Age?,What is Your Year of Study?,Field of Study,What is Your Cultural Background?,What is Your Academic Status?,Have you had any experience with ChatGPT?,Does ChatGPT Limit Creativity?,Do You Think ChatGPT is Considered Plagiarism?,Should The Information You Get From ChatGPT Be Considered Reliable/Unbiased?,How Comfortable Do You Feel with the Widespread use of ChatGPT and Other AI Tools in Society? ,Do You Think ChatGPT Will Benefit Academics in The Future?,Would You Recommend ChatGPT to Other Students?,Email Address
2/24/2023 22:48:19,18-21,First Year,Computer Science,"East African (eg. Somalia, Ethiopia, Kenya, etc), Middle Eastern or North African (eg. Turkey, Morocco, Yemen, etc)",Undergraduate (Bachelor's),Some,Yes,Yes,Sometimes,Uncomfortable,Yes,No,
2/24/2023 22:49:11,18-21,First Year,Computer Science,"South Asian (eg. Indian, Pakistani, Sri Lanka, etc)",College Student,Some,A little ,Maybe,Sometimes,Very comfortable,No,Maybe,
2/24/2023 22:52:58,18-21,First Year,Computer Science,"Southeast Asian (eg. Filipino, Vietnamese, Cambodian, etc)",Undergraduate (Bachelor's),Yes,A little ,Maybe,Sometimes,Not sure,No,Yes,
2/24/2023 22:54:20,18-21,First Year,Computer Science,"South Asian (eg. Indian, Pakistani, Sri Lanka, etc)",Undergraduate (Bachelor's),Yes,A little ,Maybe,Sometimes,Not sure,Yes,Yes,
2/24/2023 22:54:34,18-21,First Year,Computer Science,"Middle Eastern or North African (eg. Turkey, Morocco, Yemen, etc)",Undergraduate (Bachelor's),Yes,No,No,Sometimes,Not sure,Yes,Maybe,
2/24/2023 23:22:25,18-21,First Year,Arts,"South Asian (eg. Indian, Pakistani, Sri Lanka, etc)",Undergraduate (Bachelor's),No,No,No,Sometimes,Not sure,Yes,Yes,
2/25/2023 1:48:49,18-21,First Year,Other,"East African (eg. Somalia, Ethiopia, Kenya, etc)",Undergraduate (Bachelor's),Yes,Yes,Yes,Yes,Uncomfortable,Yes,Yes,
2/25/2023 23:55:56,18-21,First Year,Computer Science,White or Caucasian,Undergraduate (Bachelor's),Yes,Yes,Yes,No,Uncomfortable,Maybe,No,
2/26/2023 21:12:08,18-21,First Year,Computer Science,"South Asian (eg. Indian, Pakistani, Sri Lanka, etc)",Undergraduate (Bachelor's),Yes,A little,Yes,Sometimes,Very comfortable,Yes,Yes,
2/26/2023 21:12:46,18-21,Second Year,Business,"South Asian (eg. Indian, Pakistani, Sri Lanka, etc)",Undergraduate (Bachelor's),No,Yes,Yes,No,Uncomfortable,Maybe,Maybe,
2/26/2023 21:22:56,18-21,First Year,Arts,"South Asian (eg. Indian, Pakistani, Sri Lanka, etc)",Undergraduate (Bachelor's),Yes,No,No,Sometimes,Uncomfortable,Yes,Yes,
2/26/2023 21:24:28,21-24,Third Year,Humanities,White or Caucasian,Undergraduate (Bachelor's),No,No,Maybe,Sometimes,Uncomfortable,No,No,
2/26/2023 21:25:38,18-21,First Year,Sciences,Black or African Canadian,Undergraduate (Bachelor's),No,No,No,No,Very comfortable,Yes,Maybe,
2/26/2023 21:26:57,18-21,First Year,Other,"South Asian (eg. Indian, Pakistani, Sri Lanka, etc)",Undergraduate (Bachelor's),Yes,No,Maybe,Yes,Very comfortable,Yes,Yes,
2/26/2023 21:34:30,18-21,First Year,Other,"South Asian (eg. Indian, Pakistani, Sri Lanka, etc)",Undergraduate (Bachelor's),Yes,No,Maybe,Sometimes,Uncomfortable,No,Yes,
2/26/2023 21:34:48,18-21,First Year,Computer Science,"South Asian (eg. Indian, Pakistani, Sri Lanka, etc)",Undergraduate (Bachelor's),Yes,No,Maybe,Sometimes,Very comfortable,Yes,Yes,
2/26/2023 21:36:20,18-21,Third Year,Business,"East African (eg. Somalia, Ethiopia, Kenya, etc)",Undergraduate (Bachelor's),Yes,No,No,Yes,Very comfortable,Yes,Yes,
2/26/2023 21:40:57,18-21,First Year,Business,"Black or African Canadian, East African (eg. Somalia, Ethiopia, Kenya, etc)",Undergraduate (Bachelor's),No,Yes,No,Yes,Uncomfortable,No,No,
2/26/2023 21:42:34,18-21,First Year,Business,"East African (eg. Somalia, Ethiopia, Kenya, etc)",Undergraduate (Bachelor's),Some,A little,No,Sometimes,Very comfortable,Maybe,Yes,
2/26/2023 21:42:35,18-21,First Year,Other,"South Asian (eg. Indian, Pakistani, Sri Lanka, etc)",College Student,No,No,No,Sometimes,Uncomfortable,Yes,Maybe,
2/26/2023 21:42:37,18-21,First Year,Other,"East African (eg. Somalia, Ethiopia, Kenya, etc), Middle Eastern or North African (eg. Turkey, Morocco, Yemen, etc)",Undergraduate (Bachelor's),Yes,Yes,No,Yes,Uncomfortable,No,No,
2/26/2023 21:46:40,18-21,First Year,Sciences,"South Asian (eg. Indian, Pakistani, Sri Lanka, etc)",Undergraduate (Bachelor's),No,Yes,Maybe,No,Uncomfortable,No,No,
2/26/2023 21:48:25,21-24,Second Year,Other,"East African (eg. Somalia, Ethiopia, Kenya, etc)",College Student,No,No,No,No,Not sure,Maybe,Maybe,
2/26/2023 22:02:52,18-21,First Year,Business,"South Asian (eg. Indian, Pakistani, Sri Lanka, etc)",College Student,No,No,Yes,No,Uncomfortable,Maybe,No,
2/26/2023 22:24:08,18-21,Second Year,Business,"East African (eg. Somalia, Ethiopia, Kenya, etc)",Undergraduate (Bachelor's),Some,A little,Maybe,Sometimes,Not sure,Maybe,Maybe,
2/26/2023 22:37:01,18-21,First Year,Sciences,"South Asian (eg. Indian, Pakistani, Sri Lanka, etc)",Undergraduate (Bachelor's),Yes,Yes,Yes,Sometimes,Uncomfortable,Yes,Yes,
2/26/2023 22:40:07,18-21,First Year,Law,"Black or African Canadian, West African (eg. Gambia, Senegal, etc)",Undergraduate (Bachelor's),No,Yes,Yes,Sometimes,Not sure,Maybe,No,
2/26/2023 22:43:08,21-24,Fourth Year,Engineering,"Middle Eastern or North African (eg. Turkey, Morocco, Yemen, etc)",Undergraduate (Bachelor's),Yes,Yes,Yes,Yes,Very comfortable,Yes,Yes,
2/26/2023 22:44:01,21-24,Second Year,Law,"Black or African Canadian, East African (eg. Somalia, Ethiopia, Kenya, etc)",College Student,No,No,No,No,Uncomfortable,No,No,
2/26/2023 22:44:57,18-21,First Year,Other,"South Asian (eg. Indian, Pakistani, Sri Lanka, etc)",Undergraduate (Bachelor's),Yes,A little,No,Sometimes,Not sure,Maybe,Maybe,
